sequence,transport_type,fsw_timestamp_sec,arrival_timestamp_sec,latency_ms
106,2,1771080865.597569,1771080865.5979643,0.3952980041503906
107,2,1771080866.598106,1771080866.5984821,0.3762245178222656
108,2,1771080867.597954,1771080867.5984185,0.46443939208984375
109,2,1771080868.597508,1771080868.5978324,0.32448768615722656
110,2,1771080869.59748,1771080869.5977936,0.3135204315185547
111,2,1771080870.59796,1771080870.5983179,0.3578662872314453
112,2,1771080871.597712,1771080871.5981007,0.3886222839355469
113,2,1771080872.597996,1771080872.5983768,0.3807544708251953
114,2,1771080873.597961,1771080873.5983117,0.35071372985839844
115,2,1771080874.597717,1771080874.5980012,0.2841949462890625
116,2,1771080875.597975,1771080875.5983267,0.3516674041748047
117,2,1771080876.59776,1771080876.598101,0.3409385681152344
118,2,1771080877.598267,1771080877.5986154,0.3483295440673828
119,2,1771080878.597665,1771080878.5980005,0.33545494079589844
120,2,1771080879.598886,1771080879.599216,0.3299713134765625
121,2,1771080880.598303,1771080880.5986788,0.3757476806640625
122,2,1771080881.597852,1771080881.5982232,0.3712177276611328
123,2,1771080882.598215,1771080882.5985656,0.3504753112792969
124,2,1771080883.598407,1771080883.5988052,0.3981590270996094
125,2,1771080884.598197,1771080884.5985448,0.3478527069091797
126,2,1771080885.598259,1771080885.5985796,0.32067298889160156
127,2,1771080886.597653,1771080886.5980005,0.3476142883300781
128,2,1771080887.597946,1771080887.598328,0.3821849822998047
129,2,1771080888.597897,1771080888.5983107,0.41365623474121094
130,2,1771080889.598207,1771080889.5985653,0.35834312438964844
131,2,1771080890.598166,1771080890.5985847,0.41866302490234375
132,2,1771080891.598051,1771080891.5984259,0.37479400634765625
133,2,1771080892.597511,1771080892.5978835,0.3724098205566406
134,2,1771080893.597537,1771080893.5979288,0.3917217254638672
135,2,1771080894.597578,1771080894.5979292,0.35119056701660156
136,2,1771080895.598004,1771080895.5984182,0.41413307189941406
137,2,1771080896.599193,1771080896.5996015,0.40841102600097656
138,2,1771080897.598072,1771080897.598457,0.38504600524902344
139,2,1771080898.59783,1771080898.598201,0.37097930908203125
140,2,1771080899.597884,1771080899.5982533,0.3693103790283203
