sequence,transport_type,fsw_timestamp_sec,arrival_timestamp_sec,latency_ms
1,TLM,1771090275.036342,1771090276.144359,1108.0172061920166
2,TLM,1771090276.03688,1771090277.0529575,1016.0775184631348
3,TLM,1771090277.036578,1771090278.0606093,1024.031400680542
4,TLM,1771090278.035832,1771090279.0678983,1032.0663452148438
5,TLM,1771090279.035864,1771090280.0750713,1039.2072200775146
6,TLM,1771090280.035725,1771090281.0824864,1046.7612743377686
7,TLM,1771090281.036174,1771090282.0901246,1053.950548171997
8,TLM,1771090282.037847,1771090283.0999107,1062.0636940002441
9,TLM,1771090283.036769,1771090284.1080039,1071.234941482544
10,TLM,1771090284.03599,1771090285.1155767,1079.5867443084717
11,TLM,1771090285.036285,1771090286.1248035,1088.5186195373535
12,TLM,1771090286.036764,1771090287.1334267,1096.6627597808838
13,TLM,1771090287.035831,1771090288.1411495,1105.318546295166
14,TLM,1771090288.036257,1771090289.1482189,1111.961841583252
15,TLM,1771090289.035796,1771090290.0549583,1019.1624164581299
16,TLM,1771090290.036087,1771090291.0618312,1025.7441997528076
17,TLM,1771090291.035816,1771090292.070319,1034.5029830932617
18,TLM,1771090292.035702,1771090293.0775113,1041.809320449829
19,TLM,1771090293.035895,1771090294.084627,1048.731803894043
20,TLM,1771090294.035965,1771090295.0919716,1056.006669998169
21,TLM,1771090295.035918,1771090296.09908,1063.162088394165
22,TLM,1771090296.036866,1771090297.106481,1069.615125656128
23,TLM,1771090297.035993,1771090298.1135848,1077.5916576385498
24,TLM,1771090298.035755,1771090299.1207364,1084.9814414978027
25,TLM,1771090299.035802,1771090300.1300318,1094.2299365997314
26,TLM,1771090300.035684,1771090301.138807,1103.1229496002197
27,TLM,1771090301.035969,1771090302.1480527,1112.0836734771729
28,TLM,1771090302.036353,1771090303.0555472,1019.1941261291504
29,TLM,1771090303.036318,1771090304.0650709,1028.7528038024902
30,TLM,1771090304.036355,1771090305.074418,1038.0630493164062
31,TLM,1771090305.036499,1771090306.0838342,1047.335147857666
32,TLM,1771090306.036148,1771090307.092293,1056.1449527740479
33,TLM,1771090307.035939,1771090308.0999608,1064.0218257904053
34,TLM,1771090308.036189,1771090309.1075814,1071.392297744751
35,TLM,1771090309.035881,1771090310.1159086,1080.0275802612305
36,TLM,1771090310.03664,1771090311.123303,1086.663007736206
37,TLM,1771090311.035996,1771090312.1313968,1095.4008102416992
38,TLM,1771090312.035824,1771090313.13903,1103.205919265747
39,TLM,1771090313.036334,1771090314.1470706,1110.736608505249
40,TLM,1771090314.035849,1771090315.0535915,1017.742395401001
41,TLM,1771090315.03582,1771090316.0618289,1026.0088443756104
42,TLM,1771090316.035936,1771090317.0696998,1033.7636470794678
43,TLM,1771090317.035865,1771090318.0780134,1042.1483516693115
44,TLM,1771090318.035647,1771090319.085587,1049.9401092529297
45,TLM,1771090319.036298,1771090320.0949688,1058.6707592010498
46,TLM,1771090320.036496,1771090321.103106,1066.6100978851318
47,TLM,1771090321.036136,1771090322.1112316,1075.0956535339355
48,TLM,1771090322.036621,1771090323.1184907,1081.8696022033691
49,TLM,1771090323.035836,1771090324.1266706,1090.834617614746
50,TLM,1771090324.035741,1771090325.1355898,1099.848747253418
51,TLM,1771090325.03623,1771090326.1426778,1106.447696685791
52,TLM,1771090326.035828,1771090327.1495972,1113.7690544128418
53,TLM,1771090327.035825,1771090328.056395,1020.5700397491455
54,TLM,1771090328.035728,1771090329.063682,1027.9541015625
55,TLM,1771090329.035778,1771090330.0704074,1034.6293449401855
56,TLM,1771090330.035707,1771090331.0768464,1041.1393642425537
57,TLM,1771090331.035847,1771090332.0837276,1047.8806495666504
