sequence,transport_type,fsw_timestamp_sec,arrival_timestamp_sec,latency_ms
106,2,1770987039.978409,1770987039.9786832,0.2741813659667969
107,2,1770987040.977216,1770987040.9775946,0.37860870361328125
108,2,1770987041.978305,1770987041.9787872,0.4820823669433594
109,2,1770987042.97778,1770987042.9782093,0.4291534423828125
110,2,1770987043.976989,1770987043.977334,0.34499168395996094
111,2,1770987044.976948,1770987044.9773965,0.44846534729003906
112,2,1770987045.977206,1770987045.9775393,0.3333091735839844
113,2,1770987046.976695,1770987046.9770586,0.3635883331298828
114,2,1770987047.976632,1770987047.9770143,0.3821849822998047
115,2,1770987048.976945,1770987048.977298,0.35309791564941406
116,2,1770987049.977064,1770987049.9774303,0.36644935607910156
117,2,1770987050.976642,1770987050.9769087,0.26679039001464844
118,2,1770987051.976804,1770987051.9769857,0.18167495727539062
119,2,1770987052.976446,1770987052.9767966,0.35071372985839844
120,2,1770987053.977343,1770987053.9777863,0.4432201385498047
121,2,1770987054.977063,1770987054.9772415,0.1785755157470703
122,2,1770987055.976687,1770987055.9768105,0.12350082397460938
123,2,1770987056.977493,1770987056.9777482,0.2551078796386719
124,2,1770987057.978581,1770987057.9790788,0.4978179931640625
125,2,1770987058.977325,1770987058.977656,0.33092498779296875
126,2,1770987059.977538,1770987059.9778917,0.3535747528076172
127,2,1770987060.977345,1770987060.9777012,0.3561973571777344
128,2,1770987061.976834,1770987061.9770646,0.23055076599121094
129,2,1770987062.97758,1770987062.9778552,0.2751350402832031
130,2,1770987063.976715,1770987063.9771423,0.42724609375
131,2,1770987064.977744,1770987064.9781263,0.3821849822998047
132,2,1770987065.977332,1770987065.977767,0.43487548828125
133,2,1770987066.977373,1770987066.9777932,0.4203319549560547
134,2,1770987067.977515,1770987067.97791,0.39505958557128906
135,2,1770987068.977828,1770987068.9781952,0.36716461181640625
136,2,1770987069.977758,1770987069.9781284,0.3705024719238281
137,2,1770987070.977764,1770987070.9781418,0.37789344787597656
138,2,1770987071.977028,1770987071.9773974,0.3695487976074219
139,2,1770987072.977801,1770987072.978159,0.3578662872314453
140,2,1770987073.977359,1770987073.9777231,0.36406517028808594
