sequence,transport_type,fsw_timestamp_sec,arrival_timestamp_sec,latency_ms
71,EVT,1770986999.978624,1770987001.050823,1072.1988677978516
72,EVT,1770987000.978304,1770987002.058793,1080.489158630371
73,EVT,1770987001.977396,1770987003.0676205,1090.2245044708252
74,EVT,1770987002.977991,1770987004.0757172,1097.7261066436768
75,EVT,1770987003.977874,1770987005.0828745,1105.0004959106445
76,EVT,1770987004.97692,1770987006.0904615,1113.541603088379
77,EVT,1770987005.977301,1770987006.9972703,1019.9694633483887
78,EVT,1770987006.976802,1770987008.0049891,1028.1870365142822
79,EVT,1770987007.977038,1770987009.0136247,1036.5867614746094
80,EVT,1770987008.976854,1770987010.0231795,1046.325445175171
81,EVT,1770987009.977276,1770987011.0321133,1054.8372268676758
82,EVT,1770987010.977115,1770987012.041288,1064.1729831695557
83,EVT,1770987011.977494,1770987013.0510879,1073.5938549041748
84,EVT,1770987012.977672,1770987014.0602577,1082.5855731964111
85,EVT,1770987013.977186,1770987015.069441,1092.2551155090332
86,EVT,1770987014.97709,1770987016.079047,1101.957082748413
87,EVT,1770987015.977062,1770987017.0874383,1110.3763580322266
88,EVT,1770987016.976976,1770987017.9957113,1018.735408782959
89,EVT,1770987017.977768,1770987019.0041509,1026.3829231262207
90,EVT,1770987018.977876,1770987020.012151,1034.2750549316406
91,EVT,1770987019.977724,1770987021.0210392,1043.3151721954346
92,EVT,1770987020.977781,1770987022.0296829,1051.9018173217773
93,EVT,1770987021.977754,1770987023.0389977,1061.2435340881348
94,EVT,1770987022.977661,1770987024.048002,1070.3411102294922
95,EVT,1770987023.978652,1770987025.056119,1077.4669647216797
96,EVT,1770987024.978264,1770987026.0655603,1087.2962474822998
97,EVT,1770987025.977217,1770987027.0753262,1098.109245300293
98,EVT,1770987026.977974,1770987028.0849035,1106.9295406341553
99,EVT,1770987027.976981,1770987028.9968846,1019.9036598205566
100,EVT,1770987028.978395,1770987030.004765,1026.3700485229492
101,EVT,1770987029.977003,1770987031.013996,1036.9927883148193
102,EVT,1770987030.978122,1770987032.0227733,1044.6512699127197
103,EVT,1770987031.977446,1770987033.0320559,1054.609775543213
104,EVT,1770987032.976968,1770987034.0415277,1064.5596981048584
105,EVT,1770987033.977698,1770987035.0516028,1073.9047527313232
