sequence,transport_type,fsw_timestamp_sec,arrival_timestamp_sec,latency_ms
36,TLM,1770986963.976953,1770986965.051206,1074.2530822753906
37,TLM,1770986964.976987,1770986966.0607235,1083.7366580963135
38,TLM,1770986965.977441,1770986967.0696366,1092.1955108642578
39,TLM,1770986966.977208,1770986968.0778837,1100.6758213043213
40,TLM,1770986967.976931,1770986969.086384,1109.4529628753662
41,TLM,1770986968.977411,1770986969.9945853,1017.174243927002
42,TLM,1770986969.977446,1770986971.002667,1025.2208709716797
43,TLM,1770986970.977814,1770986972.0100842,1032.2701930999756
44,TLM,1770986971.976665,1770986973.017096,1040.431022644043
45,TLM,1770986972.976692,1770986974.0244772,1047.7852821350098
46,TLM,1770986973.976728,1770986975.0328624,1056.1344623565674
47,TLM,1770986974.977607,1770986976.04085,1063.2429122924805
48,TLM,1770986975.97752,1770986977.0503504,1072.8304386138916
49,TLM,1770986976.977087,1770986978.058813,1081.72607421875
50,TLM,1770986977.976714,1770986979.0666835,1089.9696350097656
51,TLM,1770986978.976771,1770986980.0747795,1098.008394241333
52,TLM,1770986979.977874,1770986981.0831566,1105.2825450897217
53,TLM,1770986980.976778,1770986982.0910363,1114.2582893371582
54,TLM,1770986981.976839,1770986982.999427,1022.5880146026611
55,TLM,1770986982.977021,1770986984.0062444,1029.2234420776367
56,TLM,1770986983.977013,1770986985.0141058,1037.092685699463
57,TLM,1770986984.976766,1770986986.0223758,1045.609712600708
58,TLM,1770986985.977069,1770986987.0317755,1054.7065734863281
59,TLM,1770986986.977757,1770986988.0414543,1063.697338104248
60,TLM,1770986987.977568,1770986989.0498528,1072.2849369049072
61,TLM,1770986988.976706,1770986990.0577428,1081.0368061065674
62,TLM,1770986989.97683,1770986991.0650632,1088.233232498169
63,TLM,1770986990.977497,1770986992.0728004,1095.3032970428467
64,TLM,1770986991.977082,1770986993.0812316,1104.149580001831
65,TLM,1770986992.976818,1770986994.0896275,1112.809419631958
66,TLM,1770986993.977982,1770986994.9970608,1019.0787315368652
67,TLM,1770986994.977377,1770986996.0063746,1028.9976596832275
68,TLM,1770986995.976854,1770986997.0136201,1036.7660522460938
69,TLM,1770986996.977565,1770986998.0210786,1043.513536453247
70,TLM,1770986997.978198,1770986999.0305347,1052.3366928100586
